,Time,User,Key/Agent,Message
2302,2020-05-31 16:15:49,shukrithis-ubuntu,systemd[2318],' tracker-store.service: Succeeded.\n'
2303,2020-05-31 16:29:27,shukrithis-ubuntu,systemd[1],' Starting Cleanup of Temporary Directories...\n'
2304,2020-05-31 16:29:28,shukrithis-ubuntu,systemd-tmpfiles[13411],"' [/usr/lib/tmpfiles.d/speech-dispatcher.conf:1] Line references path below legacy directory /var/run/, updating /var/run/speech-dispatcher → /run/speech-dispatcher; please update the tmpfiles.d/ drop-in file accordingly.\n'"
2305,2020-05-31 16:29:28,shukrithis-ubuntu,systemd-tmpfiles[13411],"' [/usr/lib/tmpfiles.d/speech-dispatcher.conf:2] Line references path below legacy directory /var/run/, updating /var/run/speech-dispatcher/.cache → /run/speech-dispatcher/.cache; please update the tmpfiles.d/ drop-in file accordingly.\n'"
2306,2020-05-31 16:29:28,shukrithis-ubuntu,systemd-tmpfiles[13411],"' [/usr/lib/tmpfiles.d/speech-dispatcher.conf:3] Line references path below legacy directory /var/run/, updating /var/run/speech-dispatcher/.speech-dispatcher → /run/speech-dispatcher/.speech-dispatcher; please update the tmpfiles.d/ drop-in file accordingly.\n'"
2307,2020-05-31 16:29:28,shukrithis-ubuntu,systemd-tmpfiles[13411],"' [/usr/lib/tmpfiles.d/speech-dispatcher.conf:4] Line references path below legacy directory /var/run/, updating /var/run/speech-dispatcher/.cache/speech-dispatcher → /run/speech-dispatcher/.cache/speech-dispatcher; please update the tmpfiles.d/ drop-in file accordingly.\n'"
2308,2020-05-31 16:29:28,shukrithis-ubuntu,systemd-tmpfiles[13411],"' [/usr/lib/tmpfiles.d/speech-dispatcher.conf:5] Line references path below legacy directory /var/run/, updating /var/run/speech-dispatcher/log → /run/speech-dispatcher/log; please update the tmpfiles.d/ drop-in file accordingly.\n'"
2309,2020-05-31 16:29:28,shukrithis-ubuntu,systemd[1],' systemd-tmpfiles-clean.service: Succeeded.\n'
2310,2020-05-31 16:29:28,shukrithis-ubuntu,systemd[1],' Started Cleanup of Temporary Directories.\n'
2311,2020-05-31 16:30:01,shukrithis-ubuntu,CRON[13427],' (root) CMD ([ -x /etc/init.d/anacron ] && if [ ! -d /run/systemd/system ]; then /usr/sbin/invoke-rc.d anacron start >/dev/null; fi)\n'
2312,2020-05-31 16:30:36,shukrithis-ubuntu,dbus-daemon[1010],"' [system] Activating via systemd: service name=\'org.freedesktop.nm_dispatcher\' unit=\'dbus-org.freedesktop.nm-dispatcher.service\' requested by \':1.12\' (uid=0 pid=1012 comm=""/usr/sbin/NetworkManager --no-daemon "" label=""unconfined"")\n'"
2313,2020-05-31 16:30:36,shukrithis-ubuntu,systemd[1],' Starting Network Manager Script Dispatcher Service...\n'
2314,2020-05-31 16:30:36,shukrithis-ubuntu,systemd[1],' Started Network Manager Script Dispatcher Service.\n'
2315,2020-05-31 16:30:46,shukrithis-ubuntu,systemd[1],' NetworkManager-dispatcher.service: Succeeded.\n'
2316,2020-05-31 16:32:27,shukrithis-ubuntu,systemd[1],' Condition check resulted in Run anacron jobs being skipped.\n'
2317,2020-05-31 16:39:02,shukrithis-ubuntu,dbus-daemon[1010],"' [system] Activating via systemd: service name=\'org.freedesktop.hostname1\' unit=\'dbus-org.freedesktop.hostname1.service\' requested by \':1.4682\' (uid=1000 pid=8041 comm=""/usr/share/code/code --no-sandbox --unity-launch "" label=""unconfined"")\n'"
2318,2020-05-31 16:39:02,shukrithis-ubuntu,systemd[1],' Starting Hostname Service...\n'
2319,2020-05-31 16:39:02,shukrithis-ubuntu,systemd[1],' Started Hostname Service.\n'
2320,2020-05-31 16:39:32,shukrithis-ubuntu,systemd[1],' systemd-hostnamed.service: Succeeded.\n'
