,Time,User,Key/Agent,Message
0,2020-05-24 10:43:57,shukrithis-ubuntu,kernel,"' [   57.035070] audit: type=1107 audit(1590297237.793:48): pid=982 uid=103 auid=4294967295 ses=4294967295 msg=\'apparmor=""DENIED"" operation=""dbus_method_call""  bus=""system"" path=""/org/freedesktop/systemd1"" interface=""org.freedesktop.systemd1.Manager"" member=""GetDynamicUsers"" mask=""send"" name=""org.freedesktop.systemd1"" pid=1164 label=""/usr/sbin/mysqld"" peer_pid=1 peer_label=""unconfined""\n'"
1,2020-05-26 13:10:10,shukrithis-ubuntu,kernel,"' [   60.797957] audit: type=1107 audit(1590478810.534:48): pid=1011 uid=103 auid=4294967295 ses=4294967295 msg=\'apparmor=""DENIED"" operation=""dbus_method_call""  bus=""system"" path=""/org/freedesktop/systemd1"" interface=""org.freedesktop.systemd1.Manager"" member=""GetDynamicUsers"" mask=""send"" name=""org.freedesktop.systemd1"" pid=1142 label=""/usr/sbin/mysqld"" peer_pid=1 peer_label=""unconfined""\n'"
2,2020-05-26 15:02:45,shukrithis-ubuntu,kernel,' [ 6815.544485] printk: systemd: 32 output lines suppressed due to ratelimiting\n'
3,2020-05-28 12:09:29,shukrithis-ubuntu,kernel,"' [   65.984229] audit: type=1107 audit(1590647969.729:48): pid=955 uid=103 auid=4294967295 ses=4294967295 msg=\'apparmor=""DENIED"" operation=""dbus_method_call""  bus=""system"" path=""/org/freedesktop/systemd1"" interface=""org.freedesktop.systemd1.Manager"" member=""GetDynamicUsers"" mask=""send"" name=""org.freedesktop.systemd1"" pid=1128 label=""/usr/sbin/mysqld"" peer_pid=1 peer_label=""unconfined""\n'"
4,2020-05-28 12:22:44,shukrithis-ubuntu,kernel,"' [   57.481517] audit: type=1107 audit(1590648764.214:48): pid=1010 uid=103 auid=4294967295 ses=4294967295 msg=\'apparmor=""DENIED"" operation=""dbus_method_call""  bus=""system"" path=""/org/freedesktop/systemd1"" interface=""org.freedesktop.systemd1.Manager"" member=""GetDynamicUsers"" mask=""send"" name=""org.freedesktop.systemd1"" pid=1154 label=""/usr/sbin/mysqld"" peer_pid=1 peer_label=""unconfined""\n'"
